Name,Interaction,Quality,Attack,Defense,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Points,,Attack multiplier,5,,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,,defense,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,df,,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6
Greater Mummy General,0,3,3,8,Undead,Tough - L,Desert-Walk,Fear,Extra Lives x3 - L,"General – P, R1",168,,,,,4,24,3,13,40,12,,8,,1,1,1,4,1,0,,4,24,3,13,0,12
Greater Mummy Sub-Commander,#N/A,3,3,8,Undead,Tough - L,Desert-Walk,Fear,Extra Lives x3 - L,Sub-Commander,166,,,,,4,24,3,13,40,10,,8,,1,1,1,4,#N/A,#N/A,,4,24,3,13,0,#N/A
Undead Vikings,0,4,2,6,Undead,Shieldwall,Devastating Charge - L,,,,46,,,,,4,4,7,0,0,0,,6,,1,1,1,1,1,0,,4,4,7,0,0,0
Undead Viking Archers,0,4,2,6,Undead,Shieldwall,Shooters 1 - L,,,,48,,,,,4,4,10,0,0,0,,6,,1,1,1,1,1,0,,4,4,10,0,0,0
Undead Samurai,0,4,2,6,Undead,Drilled - L,Fear,,,,54,,,,,4,8,13,0,0,0,,6,,1,1,1,1,1,0,,4,8,13,0,0,0
Plague Cart,#N/A,4,2,5,Undead,Chariot - L,Plague-Carriers,Extra Lives x2 - L,,,56,,,,,4,4,4,20,0,0,,3,,#N/A,"0,5",3,1,1,#N/A,,4,#N/A,0,0,0,0
Flesh Golem,39,4,3,7,Artificial,"Monster Level 2 - L, R3",Fear,,,,84,,,,,3,35,13,0,0,0,,7,1,1,1,1,1,1,7,,3,35,13,0,0,0
Banshee,0,4,1,7,Undead,"Monster Level 2 - L, R3",Fear,"Teleport - L, R1",Gaze Attack Level 2 - P,,97,,,,,4,35,13,8,16,0,,7,,1,1,1,1,1,0,,4,35,13,8,16,0
Liche,0,3,2,7,Undead,Spell-Caster - P,Fear,Spell: Curse,Spell: Chaos,Spell: Lightning Bolt,101,Tough - L,,,,4,10,13,5,8,6,,7,,1,1,1,1,1,0,,4,10,13,5,8,6
Greater Liche,0,3,2,8,Undead,Spell-Caster - P,Fear,Spell: Curse,Spell: Chaos,Spell: Terror,107,Tough - L,Extra Lives x2 - L,Spell: Meteor Storm,,4,10,13,5,8,6,,8,,1,1,1,1,1,0,,4,10,13,5,8,6
Zombie Ogres,0,4,3,6,Undead,Tough - L,Slow,,,,60,,,,,4,24,-1,0,0,0,,6,,1,1,1,1,1,0,,4,24,-1,0,0,0
Death  ,#N/A,3,4,8,Undead,"Assassin Level 3 - P, R2",Extra Lives x4 - P,Unique,Fear,Fast,207,,,,,4,21,80,4,13,4,,8,,1,1,#N/A,1,1,#N/A,,4,21,80,#N/A,13,4
Grave Robbers,19,4,1,6,"Adventuring Party - L1, R1",,,,,,38,,,,,10,0,0,0,0,0,,6,1,1,1,1,1,1,6,,10,0,0,0,0,0
the Flayed,12,4,2,5,Horde,,,,,,30,,,,,1,0,0,0,0,0,,3,1,1,1,1,1,1,3,,1,0,0,0,0,0
Bog Zombies,0,4,2,6,Undead,Swamp-Walk,,,,,39,,,,,4,3,0,0,0,0,,6,,2,1,1,1,1,0,,4,0,0,0,0,0
Large Skeletal Monster,0,4,3,7,Undead,"Monster Level 3 - L, R3",Extra Lives x3 - L,Tough - L,,,148,,,,,4,60,40,24,0,0,,7,,1,4,1,1,1,0,,4,60,0,24,0,0
Bone Golem,44,4,2,7,Artificial,"Monster Level 3 - L, R3",Fear,,,,101,,,,,3,60,13,0,0,0,,7,1,1,1,1,1,1,7,,3,60,13,0,0,0
Bone Demon,67,3,3,7,Extra Lives x4 - P,"General – P, R1",Tough - L,Spell-Caster - P,Spell: Fireball,Spell: Fury,211,Spell: Meteor Storm,,,,80,12,24,10,6,8,,7,1,1,1,1,1,1,7,,80,12,24,10,6,8
Undead Torturers,0,3,2,6,Undead,Highwaymen – R2,Fear,,,,69,,,,,4,5,13,0,0,0,,6,,1,1,1,1,1,0,,4,5,13,0,0,0
Undead Pirates,0,4,2,6,Undead,Shooters 0 - L,Amphibious,,,,43,,,,,4,5,3,0,0,0,,6,,1,1,1,1,1,0,,4,5,3,0,0,0
Scythe-armed Skeletons,0,4,2,6,Undead,Devastating Charge - L,,,,,43,,,,,4,7,0,0,0,0,,6,,1,1,1,1,1,0,,4,7,0,0,0,0
Armored Scythe-armed Skeletons,0,4,2,7,Undead,Devastating Charge - L,Slow,,,,46,,,,,4,7,-1,0,0,0,,7,,1,1,1,1,1,0,,4,7,-1,0,0,0
Headless Horseman,#N/A,3,3,7,Undead,"Assassin Level 2 - P, R3",Mounted – L,Fast,Unique,,91,,,,,4,14,6,4,4,0,,7,,1,1,1,#N/A,1,#N/A,,4,14,6,4,#N/A,0
Animated Scarecrows,15,4,1,5,Artificial,Fear,,,,,38,,,,,3,13,0,0,0,0,,3,1,1,1,1,1,1,3,,3,13,0,0,0,0
Scourgemaster,15,3,1,5,"Discipline Master -P, R1",,,,,,42,,,,,8,0,0,0,0,0,,3,1,1,1,1,1,1,3,,8,0,0,0,0,0
Skeletal Champion,0,3,2,6,Champion - P,Undead,,,,,53,,,,,4,4,0,0,0,0,,6,1,,1,1,1,1,0,,4,4,0,0,0,0
Armored Skeletal Champion,0,3,2,7,Champion - P,Undead,,,,,59,,,,,4,4,0,0,0,0,,7,1,,1,1,1,1,0,,4,4,0,0,0,0
Vampire General,0,3,3,7,Undead,"General – P, R1",Vampire,Extra Lives x4 - P,,,169,,,,,4,12,6,80,0,0,,7,,1,,1,1,1,0,,4,12,6,80,0,0
Vampire Sub-Commander,#N/A,3,3,7,Undead,Sub-Commander,Vampire,Extra Lives x3 - L,,,122,,,,,4,10,6,40,0,0,,7,,#N/A,,4,1,1,#N/A,,4,#N/A,6,0,0,0
Vampire General on Nightmare Steed,0,3,3,7,Undead,"General – P, R1",Vampire,Mounted – L,Fast,Extra Lives x4 - P,180,,,,,4,12,6,6,4,80,,7,,1,,1,1,1,0,,4,12,6,6,4,80
Vampire Sub-Commander on Nightmare Steed,#N/A,3,3,7,Undead,Sub-Commander,Vampire,Extra Lives x3 - L,Mounted – L,Fast,133,,,,,4,10,6,40,6,4,,7,,#N/A,,4,1,1,#N/A,,4,#N/A,6,0,6,4
Vampire Ogres,0,4,3,7,Undead,Tough - L,Vampire,,,,70,,,,,4,24,6,0,0,0,,7,,1,,1,1,1,0,,4,24,6,0,0,0
Mummy Ogres,0,4,3,7,Undead,Slow,Desert-Walk,,,,47,,,,,4,-1,3,0,0,0,,7,,1,1,1,1,1,0,,4,-1,3,0,0,0
Angry Villagers with Pitchforks,#NUM!,4,0,4,Rabble,Horde,,,,,6,,,,,-14,1,0,0,0,0,,2,1,1,1,1,1,1,2,,-14,1,0,0,0,0
Village Militia,9,4,1,5,,,,,,,25,,,,,0,0,0,0,0,0,,3,1,1,1,1,1,1,3,,0,0,0,0,0,0
Vampire Hero,0,3,3,7,Undead,Vampire,Hero - P,Extra Lives x2 - L,,,98,,,,,4,6,8,20,0,0,,7,,,1,3,1,1,0,,4,6,8,0,0,0
Vampire Champion,0,3,3,7,Undead,Vampire,Champion - P,,,,71,,,,,4,6,4,0,0,0,,7,,,1,1,1,1,0,,4,6,4,0,0,0
Night Prowler,0,4,2,6,Undead,Stealth - P,,,,,39,,,,,4,3,0,0,0,0,,6,,1,1,1,1,1,0,,4,3,0,0,0,0
Vampire Orcs,0,4,2,6,Undead,Savage - L,Vampire,,,,49,,,,,4,9,6,0,0,0,,6,,1,,1,1,1,0,,4,9,6,0,0,0
Bone Siege Tower,21,4,2,5,Siege Engine Level 3 – L,Fear,,,,,58,,,,,21,13,0,0,0,0,,3,1,1,1,1,1,1,3,,21,13,0,0,0,0
Carcass Siege Tower,48,4,2,6,Siege Engine Level 3 – L,Fear,Extra Lives x4 - P,,,,128,,,,,21,13,80,0,0,0,,6,1,1,1,1,1,1,6,,21,13,80,0,0,0
Hellfire Cannon,#N/A,4,2,6,Artillery level 4 – L,Flaming Projectiles,Fear Projectiles,Extra Lives x2 - L,,,128,,,,,80,5,8,20,0,0,,6,1,1,#N/A,3,1,1,#N/A,,80,5,#N/A,0,0,0
Graveyard Elemental,62,4,3,7,Artificial,Extra Lives x4 - P,Fear,Giant Level 4- L,Resilient - L,,178,,,,,3,80,13,55,12,0,,7,1,1,1,1,1,1,7,,3,80,13,55,12,0
Nightmare Cavalry,0,4,2,6,Undead,Mounted – L,Fear,,,,53,,,,,4,6,13,0,0,0,,6,,1,1,1,1,1,0,,4,6,13,0,0,0
Nightmare Cannon,#N/A,4,2,5,Undead,Artillery level 2 – L,Fear Projectiles,,,,56,,,,,4,20,8,0,0,0,,3,,1,#N/A,1,1,1,#N/A,,4,20,#N/A,0,0,0
Undead Dwarves,0,4,2,6,Undead,Slow,,,,,36,,,,,4,-1,0,0,0,0,,6,,1,1,1,1,1,0,,4,-1,0,0,0,0
Zombie Dwarf Slingers,0,4,2,6,Undead,Slow,Shooters 1 - L,,,,44,,,,,4,-1,10,0,0,0,,6,,1,1,1,1,1,0,,4,-1,10,0,0,0
Zombie Orcs,0,4,2,6,Undead,Savage - L,Slow,,,,43,,,,,4,9,-1,0,0,0,,6,,1,1,1,1,1,0,,4,9,-1,0,0,0
Wraiths on Pteranodon,0,4,2,7,Undead,Flying - L,Extra Lives x2 - L,,,,73,,,,,4,18,20,0,0,0,,7,,1,3,1,1,1,0,,4,18,0,0,0,0
Elite Wraiths on Pteranodon,0,3,2,7,Undead,Flying - L,Extra Lives x3 - L,,,,119,,,,,4,18,40,0,0,0,,7,,1,4,1,1,1,0,,4,18,0,0,0,0
Zombie Goblins,0,4,1,5,Undead,Horde,Rabble,,,,18,,,,,4,1,-14,0,0,0,,3,,1,1,1,1,1,0,,4,1,-14,0,0,0
Shades,0,4,2,6,Undead,"Immaterial - L, R2",,,,,43,,,,,4,7,0,0,0,0,,6,,1,1,1,1,1,0,,4,7,0,0,0,0
Shadows,0,3,2,6,Undead,"Immaterial - L, R2",Ambushers - L,,,,60,,,,,4,7,3,0,0,0,,6,,1,1,1,1,1,0,,4,7,3,0,0,0
Ghasts,0,3,2,6,Undead,Poison/Venom - L,Resilient - L,,,,71,,,,,4,8,12,0,0,0,,6,,1,1,1,1,1,0,,4,8,12,0,0,0
Anti-Paladins,30,3,2,7,Resilient - L,Steadfast,,,,,69,,,,,12,5,0,0,0,0,,7,1,1,1,1,1,1,7,,12,5,0,0,0,0
Anti'Paladin Hero,76,3,2,7,Tough - L,Steadfast,Hero - P,Extra Lives x3 - L,,,136,,,,,24,5,8,40,0,0,,7,1,1,1,4,1,1,28,,24,5,8,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWARVES  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Infantry,16,4,2,6,Slow,,,,,,33,,,,,-1,0,0,0,0,0,,6,1,1,1,1,1,1,6,,-1,0,0,0,0,0
Dwarven Heavy Infantry,17,4,2,7,Slow,,,,,,37,,,,,-1,0,0,0,0,0,,7,1,1,1,1,1,1,7,,-1,0,0,0,0,0
Dwarven Slingers,16,4,1,6,Shooters 0 - L,Slow,,,,,33,,,,,5,-1,0,0,0,0,,6,1,1,1,1,1,1,6,,5,-1,0,0,0,0
Dwarven Archers,18,4,1,6,Shooters 1 - L,Slow,,,,,37,,,,,10,-1,0,0,0,0,,6,1,1,1,1,1,1,6,,10,-1,0,0,0,0
Dwarven Crossbows,21,4,1,6,Shooters 2 - L,Slow,,,,,42,,,,,16,-1,0,0,0,0,,6,1,1,1,1,1,1,6,,16,-1,0,0,0,0
Dwarven Young,#NUM!,4,1,5,Slow,Rabble,,,,,13,,,,,-1,-14,0,0,0,0,,3,1,1,1,1,1,1,3,,-1,-14,0,0,0,0
Dwarven Elite Infantry,18,3,2,6,Slow,,,,,,43,,,,,-1,0,0,0,0,0,,6,1,1,1,1,1,1,6,,-1,0,0,0,0,0
Dwarven Polearms,20,4,2,6,Slow,Savage - L,,,,,40,,,,,-1,9,0,0,0,0,,6,1,1,1,1,1,1,6,,-1,9,0,0,0,0
Dwarven Elite Polearms,23,3,2,6,Slow,Savage - L,,,,,53,,,,,-1,9,0,0,0,0,,6,1,1,1,1,1,1,6,,-1,9,0,0,0,0
Dwarven Heavy Polearms,#N/A,4,2,3,Slow,Savage - L,,,,,28,,,,,-1,9,0,0,0,0,,#N/A,1,1,1,1,1,1,#N/A,,-1,9,0,0,0,0
Dwarven Elite Heavy Polearms,25,3,2,7,Slow,Savage - L,,,,,59,,,,,-1,9,0,0,0,0,,7,1,1,1,1,1,1,7,,-1,9,0,0,0,0
Dwarven Warhammers,23,4,2,6,Slow,Savage - L,Devastating Charge - L,,,,46,,,,,-1,9,7,0,0,0,,6,1,1,1,1,1,1,6,,-1,9,7,0,0,0
Dwarven Elite Warhammers,27,3,2,6,Slow,Savage - L,Devastating Charge - L,,,,61,,,,,-1,9,7,0,0,0,,6,1,1,1,1,1,1,6,,-1,9,7,0,0,0
Dwarven Elite Crossbows/Blunderbusses,24,3,1,6,Shooters 2 - L,Slow,,,,,56,,,,,16,-1,0,0,0,0,,6,1,1,1,1,1,1,6,,16,-1,0,0,0,0
Dwarves with Runic Blunderbusses,28,4,2,6,Shooters 2 - L,Slow,Poisoned Missiles L,,,,49,,,,,16,-1,4,0,0,0,,6,1,1,"1,5",1,1,1,9,,16,-1,0,0,0,0
Dwarven Steelwall Warriors,19,4,2,7,Slow,Shieldwall,,,,,40,,,,,-1,4,0,0,0,0,,7,1,1,1,1,1,1,7,,-1,4,0,0,0,0
Dwarven Scouts,13,4,1,5,Scout - R4,Skirmishers,,,,,33,,,,,5,5,0,0,0,0,,3,1,1,1,1,1,1,3,,5,5,0,0,0,0
Dwarven Scouts with Bows,16,4,1,5,Scout - R4,Skirmishers,Shooters 1 - L,,,,42,,,,,5,5,10,0,0,0,,3,1,1,1,1,1,1,3,,5,5,10,0,0,0
Dwarven Tunnel Explorers,24,3,2,6,"Adventuring Party - L1, R1",,,,,,56,,,,,10,0,0,0,0,0,,6,1,1,1,1,1,1,6,,10,0,0,0,0,0
Dwarven Pikes,19,4,2,6,Slow,Pikes,,,,,38,,,,,-1,6,0,0,0,0,,6,1,1,1,1,1,1,6,,-1,6,0,0,0,0
Dwarven Elite Pikes,22,3,2,6,Slow,Pikes,,,,,50,,,,,-1,6,0,0,0,0,,6,1,1,1,1,1,1,6,,-1,6,0,0,0,0
Dwarven Heavily Armored Pikes,20,4,2,7,Slow,Pikes,,,,,42,,,,,-1,6,0,0,0,0,,7,1,1,1,1,1,1,7,,-1,6,0,0,0,0
Dwarven Heavily Armored Elite Pikes,24,3,2,7,Slow,Pikes,,,,,56,,,,,-1,6,0,0,0,0,,7,1,1,1,1,1,1,7,,-1,6,0,0,0,0
Weremole,29,4,2,7,Burrowing,"Monster Level 1 - L, R3",Resilient - L,,,,58,,,,,3,10,12,0,0,0,,7,1,1,1,1,1,1,7,,3,10,12,0,0,0
Werebear,73,4,3,7,Forester,"Monster Level 2 - L, R3",Tough - L,Extra Lives x2 - L,,,112,,,,,5,35,24,20,0,0,,7,1,1,1,3,1,1,21,,5,35,24,0,0,0
Giant Star-nosed Mole Rider,21,4,2,6,Burrowing,Mounted – L,,,,,41,,,,,3,6,0,0,0,0,,6,1,1,1,1,1,1,6,,3,6,0,0,0,0
Elite Giant Star-nosed Mole Rider,27,3,2,6,Burrowing,Mounted – L,Devastating Charge - L,,,,62,,,,,3,6,7,0,0,0,,6,1,1,1,1,1,1,6,,3,6,7,0,0,0
Dwarven Mountaineers,12,4,1,5,Slow,Mountaineer,Skirmishers,,,,31,,,,,-1,3,5,0,0,0,,3,1,1,1,1,1,1,3,,-1,3,5,0,0,0
Dwarven Siege Tower,67,4,3,7,Siege Engine Level 3 – L,Extra Lives x3 - L,Resilient - L,,,,103,,,,,21,40,12,0,0,0,,7,1,4,1,1,1,1,28,,21,0,12,0,0,0
Dwarven Light Ballista,18,4,2,5,Artillery level 2 – L,,,,,,46,,,,,20,0,0,0,0,0,,3,1,1,1,1,1,1,3,,20,0,0,0,0,0
Dwarven Ballista,22,4,2,5,Artillery level 3 - L,,,,,,63,,,,,40,0,0,0,0,0,,3,1,1,1,1,1,1,3,,40,0,0,0,0,0
Dwarven Catapult,35,4,2,6,Artillery level 3 - L,Resilient - L,,,,,77,,,,,40,12,0,0,0,0,,6,1,1,1,1,1,1,6,,40,12,0,0,0,0
Dwarven Bombard,46,4,2,6,Artillery level 4 – L,Tough - L,,,,,120,,,,,80,24,0,0,0,0,,6,1,1,1,1,1,1,6,,80,24,0,0,0,0
Dwarven Light Cannon,44,4,2,6,Artillery level 4 – L,Resilient - L,,,,,110,,,,,80,12,0,0,0,0,,6,1,1,1,1,1,1,6,,80,12,0,0,0,0
Dwarven Heavy Cannon,120,4,2,6,Artillery level 5 – R1,Tough - L,Extra Lives x3 - L,,,,220,,,,,160,24,40,0,0,0,,6,1,1,4,1,1,1,24,,160,24,0,0,0,0
Dwarven Light Cannon with elite crew,88,3,2,6,Artillery level 4 – L,Resilient - L,Extra Lives x2 - L,,,,169,,,,,80,12,20,0,0,0,,6,1,1,3,1,1,1,18,,80,12,0,0,0,0
Dwarven Heavy Cannon with elite crew,138,3,2,6,Artillery level 5 – R1,Tough - L,Extra Lives x3 - L,,,,293,,,,,160,24,40,0,0,0,,6,1,1,4,1,1,1,24,,160,24,0,0,0,0
Dwarven Dragonfire Cannon,121,4,2,6,Artillery level 5 – R1,Tough - L,Extra Lives x3 - L,Flaming Projectiles,,,224,,,,,160,24,40,5,0,0,,6,1,1,4,1,1,1,24,,160,24,0,5,0,0
Dwarven Flame Cannon,57,4,2,6,Artillery level 3 - L,Extra Lives x2 - L,Flaming Projectiles,,,,88,,,,,40,20,5,0,0,0,,6,1,3,1,1,1,1,18,,40,0,5,0,0,0
Dwarven Goblin Pestilence Cannon,31,4,2,6,Artillery level 2 – L,Resilient - L,Plague Projectiles,,,,64,,,,,20,12,5,0,0,0,,6,1,1,1,1,1,1,6,,20,12,5,0,0,0
Dwarven Bear Cavalry,37,4,2,7,Mounted – L,Extra Lives x2 - L,Horde,,,,60,,,,,6,20,1,0,0,0,,7,1,3,1,1,1,1,21,,6,0,1,0,0,0
Dwarven Elite Bear Cavalry,48,3,2,7,Mounted – L,Extra Lives x3 - L,,,,,101,,,,,6,40,0,0,0,0,,7,1,4,1,1,1,1,28,,6,0,0,0,0,0
Dwarven Giant Goat Cavalry,26,4,2,7,Mounted – L,Mountaineer,Devastating Charge - L,,,,51,,,,,6,3,7,0,0,0,,7,1,1,1,1,1,1,7,,6,3,7,0,0,0
Dwarven Elite Giant Goat Cavalry,29,3,2,7,Mounted – L,Mountaineer,Devastating Charge - L,,,,68,,,,,6,3,7,0,0,0,,7,1,1,1,1,1,1,7,,6,3,7,0,0,0
Dwarven Pony Cavalry,19,4,2,6,Mounted – L,,,,,,38,,,,,6,0,0,0,0,0,,6,1,1,1,1,1,1,6,,6,0,0,0,0,0
Dwarven Pony Cavalry with Bows,24,4,2,6,Mounted – L,Shooters 1 - L,,,,,47,,,,,6,10,0,0,0,0,,6,1,1,1,1,1,1,6,,6,10,0,0,0,0
Dwarven Pony Cavalry with Crossbows,26,4,2,6,Mounted – L,Shooters 2 - L,,,,,52,,,,,6,16,0,0,0,0,,6,1,1,1,1,1,1,6,,6,16,0,0,0,0
Dwarven Chariot,#N/A,4,2,6,Chariot - L,Tough - L,,,,,57,,,,,4,24,0,0,0,0,,6,#N/A,1,1,1,1,1,#N/A,,#N/A,24,0,0,0,0
Dwarven Heavy Chariot,#N/A,4,2,7,Chariot - L,Tough - L,Extra Lives x2 - L,,,,78,,,,,4,24,20,0,0,0,,7,#N/A,1,3,1,1,1,#N/A,,#N/A,24,0,0,0,0
Dwarven Chariot with Javelineer,#N/A,4,2,6,Chariot - L,Tough - L,Shooters 0 - L,,,,61,,,,,4,24,5,0,0,0,,6,#N/A,1,1,1,1,1,#N/A,,#N/A,24,5,0,0,0
Dwarven Heavy Chariot with Bowman,#N/A,4,2,7,Chariot - L,Tough - L,Extra Lives x2 - L,Shooters 1 - L,,,86,,,,,4,24,20,10,0,0,,7,#N/A,1,3,1,1,1,#N/A,,#N/A,24,0,10,0,0
Dwarven Dragon Ale Flamethrower,56,3,2,6,Shooters 3 - P,Hero - P,Extra Lives x2 - L,Slow,,,98,,,,,21,8,20,-1,0,0,,6,1,1,3,1,1,1,18,,21,8,0,-1,0,0
Dwarven Crossbow Marksman,29,3,2,6,Shooters 3 - P,Slow,,,,,67,,,,,21,-1,0,0,0,0,,6,1,1,1,1,1,1,6,,21,-1,0,0,0,0
Dwarven War Giant,0,4,2,8,Giant Level 5- R1,Tough - L,Trample - L,Unpredictable,Extra Lives x4 - P,,200,,,,,80,24,7,-1,80,0,,8,1,1,1,,1,1,0,,80,24,7,-1,80,0
Dwarven War Giant with Ballista,0,4,2,8,Giant Level 5- R1,Tough - L,Trample - L,Unpredictable,Extra Lives x4 - P,Shooters 3 - P,218,,,,,80,24,7,-1,80,21,,8,1,1,1,,1,1,0,,80,24,7,-1,80,21
Bear Handler,20,4,2,6,Beast Lord - P,,,,,,39,,,,,7,0,0,0,0,0,,6,1,1,1,1,1,1,6,,7,0,0,0,0,0
Attack Bears,28,4,2,7,Animal,Tough - L,Horde,,,,57,,,,,-2,24,1,0,0,0,,7,1,1,1,1,1,1,7,,-2,24,1,0,0,0
Boar Handler,22,4,2,6,Beast Lord - P,Forester,,,,,43,,,,,7,5,0,0,0,0,,6,1,1,1,1,1,1,6,,7,5,0,0,0,0
Wild Boars,30,4,2,7,Animal,Tough - L,Horde,Forester,,,61,,,,,-2,24,1,5,0,0,,7,1,1,1,1,1,1,7,,-2,24,1,5,0,0
Dwarven Bersekers,21,4,2,6,"Berserk - L, R3",Horde,,,,,41,,,,,8,1,0,0,0,0,,6,1,1,1,1,1,1,6,,8,1,0,0,0,0
Dwarven Barbarians,17,4,2,6,Horde,,,,,,34,,,,,1,0,0,0,0,0,,6,1,1,1,1,1,1,6,,1,0,0,0,0,0
Dwarven Barbarians with heavy weapons,20,4,2,6,Horde,Devastating Charge - L,,,,,40,,,,,1,7,0,0,0,0,,6,1,1,1,1,1,1,6,,1,7,0,0,0,0
Dwarven Barbarian Slingers,15,4,1,5,Skirmishers,Shooters 1 - L,,,,,38,,,,,5,10,0,0,0,0,,3,1,1,1,1,1,1,3,,5,10,0,0,0,0
Dwarven Great Axes,24,4,2,6,Slow,Resilient - L,Devastating Charge - L,,,,48,,,,,-1,12,7,0,0,0,,6,1,1,1,1,1,1,6,,-1,12,7,0,0,0
Dwarven Elite Great Axes,28,3,2,6,Slow,Resilient - L,Devastating Charge - L,,,,64,,,,,-1,12,7,0,0,0,,6,1,1,1,1,1,1,6,,-1,12,7,0,0,0
Dwarven Orcslayers,18,4,2,6,Slow,"Slayers - L, R3",,,,,37,,,,,-1,5,0,0,0,0,,6,1,1,1,1,1,1,6,,-1,5,0,0,0,0
Dwarven War Tank,70,3,1,8,Slow,Tough - L,Shooters 3 - P,Siege Engine Level 3 – L,Extra Lives x4 - P,,211,,,,,-1,24,21,21,80,0,,8,1,1,1,1,1,1,8,,-1,24,21,21,80,0
Dwarven Muskets,26,4,2,6,Slow,Shooters 2 - L,Drilled - L,,,,53,,,,,-1,16,8,0,0,0,,6,1,1,1,1,1,1,6,,-1,16,8,0,0,0
Barbarian Forest Guides,18,4,1,6,Slow,Forester,Scout - R4,,,,37,,,,,-1,5,5,0,0,0,,6,1,1,1,1,1,1,6,,-1,5,5,0,0,0
Dwarven Champion,63,3,3,7,Slow,Champion - P,Extra Lives x2 - L,Tough - L,,,108,,,,,-1,4,20,24,0,0,,7,1,1,3,1,1,1,21,,-1,4,0,24,0,0
Dwarven General,61,3,3,7,Slow,"General – P, R1",Extra Lives x4 - P,Tough - L,,,183,,,,,-1,12,80,24,0,0,,7,1,1,1,1,1,1,7,,-1,12,80,24,0,0
Dwarven Sub-Commander,#N/A,3,3,7,Slow,Sub-Commander,Extra Lives x2 - L,Resilient - L,,,101,,,,,-1,10,20,12,0,0,,7,1,#N/A,3,1,1,1,#N/A,,-1,#N/A,0,12,0,0
Dwarven Hero,27,3,3,7,Slow,Hero - P,,,,,63,,,,,-1,8,0,0,0,0,,7,1,1,1,1,1,1,7,,-1,8,0,0,0,0
Dwarven Trollslayers,35,3,2,6,Slow,Tough - L,Devastating Charge - L,"Slayers - L, R3",,,83,,,,,-1,24,7,5,0,0,,6,1,1,1,1,1,1,6,,-1,24,7,5,0,0
Dwarven Giantslayers,65,3,2,7,Slow,Tough - L,Devastating Charge - L,"Slayers - L, R3",Extra Lives x2 - L,,111,,,,,-1,24,7,5,20,0,,7,1,1,1,1,3,1,21,,-1,24,7,5,0,0
Dwarven Goblinslayers,18,4,2,6,Slow,"Slayers - L, R3",,,,,37,,,,,-1,5,0,0,0,0,,6,1,1,1,1,1,1,6,,-1,5,0,0,0,0
Dwarven Dragonslayers,75,3,2,7,Slow,Tough - L,Devastating Charge - L,"Slayers - L, R3",Extra Lives x3 - L,,133,,,,,-1,24,7,5,40,0,,7,1,1,1,1,4,1,28,,-1,24,7,5,0,0
Enslaved Land Wyrm,0,4,4,7,"Monster Level 4 – L, R2",Tough - L,Poison/Venom - L,Unpredictable,,,155,,,,,100,24,8,-1,0,0,,7,1,1,1,,1,1,0,,100,24,8,-1,0,0
Dwarven Drunkards,0,5,2,6,Slow,Unreliable,,,,,21,,,,,-1,-2,0,0,0,0,,6,1,,1,1,1,1,0,,-1,-2,0,0,0,0
Dwarven Drunkards on Ponies,0,4,2,6,Mounted – L,Unreliable,,,,,37,,,,,6,-2,0,0,0,0,,6,1,,1,1,1,1,0,,6,-2,0,0,0,0
Legendary Brewer's Cart,#N/A,4,2,6,Chariot - L,"Army Standard – P, R1",Resilient - L,Extra Lives x3 - L,,,87,,,,,4,8,12,40,0,0,,6,#N/A,#N/A,1,4,1,1,#N/A,,#N/A,#N/A,12,0,0,0
Dwarven Halls High Guard,45,3,3,7,Bodyguards - L,Slow,Extra Lives x2 - L,,,,82,,,,,5,-1,20,0,0,0,,7,1,1,3,1,1,1,21,,5,-1,0,0,0,0
Dwarven Warrior King,66,3,3,7,Hero - P,"General – P, R1",Tough - L,Extra Lives x4 - P,Slow,"Inspiring Leader - P, R1",206,,,,,8,12,24,80,-1,12,,7,1,1,1,1,1,1,7,,8,12,24,80,-1,12
Dwarven Noble,#N/A,3,3,7,Hero - P,Sub-Commander,,,,,76,,,,,8,10,0,0,0,0,,7,1,#N/A,1,1,1,1,#N/A,,8,#N/A,0,0,0,0
Dwarven Runecaster,23,3,1,5,Spell-Caster - P,Slow,Spell: Chaos,Spell: Destroy Constructs,Spell: Fireball,Spell: Fury,70,,,,,10,-1,8,2,6,8,,3,1,1,1,1,1,1,3,,10,-1,8,2,6,8
Apprentice Runecaster,17,4,1,5,Spell-Caster - P,Slow,Spell: Chaos,Spell: Fireball,,,44,,,,,10,-1,8,6,0,0,,3,1,1,1,1,1,1,3,,10,-1,8,6,0,0
Dwarf Assassin,28,3,2,6,"Assassin Level 2 - P, R3",Stealth - P,,,,,63,,,,,14,3,0,0,0,0,,6,1,1,1,1,1,1,6,,14,3,0,0,0,0
Novice Assassin,21,4,2,6,"Assassin Level 1 - P, R3",Stealth - P,,,,,42,,,,,7,3,0,0,0,0,,6,1,1,1,1,1,1,6,,7,3,0,0,0,0
